"Employee Number","Education"
"00000029","Some College"
"00000054","High School Diploma"
"00000062","High School Diploma"
"00000081","High School Diploma"
"00000094","High School Diploma"
"00000107","Some College"
"00000144","Some College"
"00000160","Some College"
"00000175","High School Diploma"
"00000176","Master"
"00000025","High School Diploma"
"00000044","Bachelor"
"00000102","High School Diploma"
"00000201","Some College"
"00000208","Some College"
"00000209","High School Diploma"
"00000013","Some College"
"00000022","High School Diploma"
"00000037","Master"
"00000040","Some College"
"00000072","Bachelor"
"00000080","PhD"
"00000089","Some College"
"00000112","Some College"
"00000123","Some College"
"00000147","Master"
"00000156","Bachelor"
"00000158","Master"
"00000171","Bachelor"
"00000173","PhD"
"00000184","Some College"
"00000204","High School Diploma"
"00000225","Some College"
"00000232","Master"
"00000245","Bachelor"
"00000246","PhD"
"00000247","High School Diploma"
"00000011","Some College"
"00000030","High School Diploma"
"00000031","High School Diploma"
"00000049","Some College"
"00000051","Some College"
"00000063","High School Diploma"
"00000064","Bachelor"
"00000082","High School Diploma"
"00000083","Master"
"00000093","Some College"
"00000105","Bachelor"
"00000113","High School Diploma"
"00000122","Some College"
"00000128","Some College"
"00000141","Bachelor"
"00000145","Master"
"00000146","Some College"
"00000154","Bachelor"
"00000180","Some College"
"00000188","High School Diploma"
"00000191","Master"
"00000193","Some College"
"00000195","Master"
"00000197","High School Diploma"
"00000199","Master"
"00000200","PhD"
"00000205","Bachelor"
"00000211","PhD"
"00000216","High School Diploma"
"00000218","Master"
"00000230","High School Diploma"
"00000231","High School Diploma"
"00000234","Bachelor"
"00000235","High School Diploma"
"00000255","Some College"
"00000259","Master"
"00000001","High School Diploma"
"00000002","High School Diploma"
"00000003","Bachelor"
"00000004","High School Diploma"
"00000005","High School Diploma"
"00000006","Master"
"00000007","Master"
"00000008","High School Diploma"
"00000009","Bachelor"
"00000010","High School Diploma"
"00000017","Some College"
"00000059","Some College"
"00000065","Bachelor"
"00000069","High School Diploma"
"00000116","Master"
"00000120","Bachelor"
"00000132","High School Diploma"
"00000181","Some College"
"00000189","High School Diploma"
"00000262","Bachelor"
"00000264","High School Diploma"
"00000039","Some College"
"00000046","High School Diploma"
"00000047","High School Diploma"
"00000086","High School Diploma"
"00000106","Some College"
"00000115","Some College"
"00000136","High School Diploma"
"00000137","Bachelor"
"00000151","Some College"
"00000222","Master"
"00000237","High School Diploma"
"00000256","High School Diploma"
"00000019","High School Diploma"
"00000033","High School Diploma"
"00000042","High School Diploma"
"00000100","High School Diploma"
"00000101","Bachelor"
"00000103","High School Diploma"
"00000219","Some College"
"00000248","Some College"
"00000261","High School Diploma"
"00000056","PhD"
"00000057","High School Diploma"
"00000073","High School Diploma"
"00000077","High School Diploma"
"00000087","Bachelor"
"00000096","High School Diploma"
"00000098","PhD"
"00000099","High School Diploma"
"00000114","High School Diploma"
"00000118","Some College"
"00000170","High School Diploma"
"00000203","High School Diploma"
"00000239","Some College"
"00000050","Master"
"00000070","Some College"
"00000088","Some College"
"00000152","High School Diploma"
"00000014","Some College"
"00000024","High School Diploma"
"00000027","High School Diploma"
"00000036","Some College"
"00000048","Some College"
"00000052","Some College"
"00000055","Some College"
"00000066","Master"
"00000067","High School Diploma"
"00000075","High School Diploma"
"00000078","High School Diploma"
"00000079","High School Diploma"
"00000090","PhD"
"00000091","Master"
"00000092","Some College"
"00000138","Master"
"00000161","Master"
"00000174","Master"
"00000190","High School Diploma"
"00000192","High School Diploma"
"00000196","High School Diploma"
"00000214","High School Diploma"
"00000215","Some College"
"00000217","Bachelor"
"00000223","Some College"
"00000229","Some College"
"00000238","Some College"
"00000241","Some College"
"00000250","Master"
"00000253","Some College"
"00000258","High School Diploma"
"00000266","High School Diploma"
"00000028","Bachelor"
"00000038","High School Diploma"
"00000041","PhD"
"00000053","High School Diploma"
"00000108","Master"
"00000143","Some College"
"00000149","Some College"
"00000150","PhD"
"00000163","Master"
"00000165","Master"
"00000166","High School Diploma"
"00000167","Bachelor"
"00000169","PhD"
"00000177","Bachelor"
"00000179","Some College"
"00000186","Master"
"00000187","Some College"
"00000198","Some College"
"00000207","Master"
"00000224","High School Diploma"
"00000233","High School Diploma"
"00000240","PhD"
"00000242","Master"
"00000243","Some College"
"00000249","Some College"
"00000260","Some College"
"00000263","Bachelor"
"00000012","Master"
"00000015","Some College"
"00000032","Some College"
"00000034","High School Diploma"
"00000058","High School Diploma"
"00000060","Bachelor"
"00000074","PhD"
"00000097","Master"
"00000109","High School Diploma"
"00000111","High School Diploma"
"00000124","High School Diploma"
"00000131","Some College"
"00000140","Master"
"00000153","High School Diploma"
"00000157","Some College"
"00000159","Some College"
"00000182","Some College"
"00000213","Some College"
"00000221","High School Diploma"
"00000228","Master"
"00000251","Master"
"00000252","High School Diploma"
"00000254","Some College"
"00000016","Bachelor"
"00000018","Bachelor"
"00000020","Some College"
"00000021","Some College"
"00000023","PhD"
"00000026","Some College"
"00000035","High School Diploma"
"00000043","High School Diploma"
"00000061","High School Diploma"
"00000068","Bachelor"
"00000071","Master"
"00000076","PhD"
"00000084","Some College"
"00000095","Bachelor"
"00000110","Some College"
"00000117","High School Diploma"
"00000119","Some College"
"00000121","Bachelor"
"00000125","Bachelor"
"00000126","Some College"
"00000127","High School Diploma"
"00000130","Bachelor"
"00000134","Some College"
"00000135","Some College"
"00000139","High School Diploma"
"00000142","PhD"
"00000148","Master"
"00000155","High School Diploma"
"00000162","High School Diploma"
"00000164","Bachelor"
"00000168","High School Diploma"
"00000178","Some College"
"00000183","High School Diploma"
"00000185","High School Diploma"
"00000194","Master"
"00000202","Master"
"00000210","Bachelor"
"00000212","Some College"
"00000226","High School Diploma"
"00000227","High School Diploma"
"00000236","High School Diploma"
"00000244","High School Diploma"
"00000257","High School Diploma"
"00000267","High School Diploma"
"00000045","Some College"
"00000085","Some College"
"00000104","Some College"
"00000129","Bachelor"
"00000133","High School Diploma"
"00000172","Some College"
"00000206","High School Diploma"
"00000220","PhD"
"00000265","High School Diploma"
